"","neighbourhood_group","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365","sentiment_score","new_factor"
"1","Brooklyn",40.64749,-73.97237,"Private room",149,1,9,0.21,6,365,0.566946709513841,"Private room:Brooklyn"
"2","Brooklyn",40.68514,-73.95976,"Entire home/apt",89,1,270,4.64,1,194,0.447213595499958,"Entire home/apt:Brooklyn"
"3","Manhattan",40.79851,-73.94399,"Entire home/apt",80,10,9,0.1,1,0,0.353553390593274,"Entire home/apt:Manhattan"
"4","Manhattan",40.74767,-73.975,"Entire home/apt",200,3,74,0.59,1,129,0.377964473009227,"Entire home/apt:Manhattan"
"5","Brooklyn",40.68688,-73.95596,"Private room",60,45,49,0.4,1,0,0,"Private room:Brooklyn"
"6","Manhattan",40.76489,-73.98493,"Private room",79,2,430,3.47,1,220,0,"Private room:Manhattan"
"7","Manhattan",40.80178,-73.96723,"Private room",79,2,118,0.99,1,0,0.918558653543692,"Private room:Manhattan"
"8","Manhattan",40.71344,-73.99037,"Entire home/apt",150,1,160,1.33,4,188,0.71443450831176,"Entire home/apt:Manhattan"
"9","Manhattan",40.80316,-73.96545,"Entire home/apt",135,5,53,0.43,1,6,0.306186217847897,"Entire home/apt:Manhattan"
"10","Manhattan",40.76076,-73.98867,"Private room",85,2,188,1.5,1,39,0,"Private room:Manhattan"
"11","Brooklyn",40.66829,-73.98779,"Private room",89,4,167,1.34,3,314,0.793725393319377,"Private room:Brooklyn"
"12","Manhattan",40.79826,-73.96113,"Private room",85,2,113,0.91,1,333,0.28347335475692,"Private room:Manhattan"
"13","Manhattan",40.7353,-74.00525,"Entire home/apt",120,90,27,0.22,1,0,0,"Entire home/apt:Manhattan"
"14","Brooklyn",40.70837,-73.95352,"Entire home/apt",140,2,148,1.2,1,46,-0.0357770876399966,"Entire home/apt:Brooklyn"
"15","Brooklyn",40.69169,-73.97185,"Entire home/apt",215,2,198,1.72,1,321,0.603738353924943,"Entire home/apt:Brooklyn"
"16","Brooklyn",40.67592,-73.94694,"Entire home/apt",99,3,53,4.44,1,21,0.163299316185545,"Entire home/apt:Brooklyn"
"17","Brooklyn",40.71842,-73.95718,"Entire home/apt",299,3,9,0.07,1,0,0.559016994374947,"Entire home/apt:Brooklyn"
"18","Brooklyn",40.67989,-73.97798,"Private room",80,1,39,0.37,6,364,0.4,"Private room:Brooklyn"
"19","Brooklyn",40.68371,-73.94028,"Entire home/apt",120,2,88,0.73,2,233,0,"Entire home/apt:Brooklyn"
"20","Manhattan",40.76715,-73.98533,"Entire home/apt",150,10,58,0.49,1,75,0,"Entire home/apt:Manhattan"
"21","Manhattan",40.86482,-73.92106,"Private room",44,3,108,1.11,3,311,0.559016994374947,"Private room:Manhattan"
"22","Manhattan",40.7292,-73.98542,"Entire home/apt",180,14,29,0.24,1,67,0.268328157299975,"Entire home/apt:Manhattan"
"23","Manhattan",40.82245,-73.95104,"Private room",50,3,242,2.04,3,355,0,"Private room:Manhattan"
"24","Manhattan",40.81305,-73.95466,"Private room",52,2,88,1.42,1,255,0.268328157299975,"Private room:Manhattan"
