('40.82153', '-73.95512')
('40.759', '-73.988')
('40.682', '-73.895')
('40.749', '-73.992')
('40.70031', '-73.90828')
('40.71921', '-73.99116')
('40.7497', '-73.99515')
('40.77938', '-73.98247')
('40.72046', '-73.98773')
('40.72649', '-73.97904')
('40.68296', '-73.93662')
('40.71716', '-73.99462')
('40.72137', '-74.04642')
('40.72096', '-74.07383')
('40.73802', '-74.05699')
('40.7664', '-73.98808')
('40.72476', '-74.00387')
('40.75376', '-74.02635')
('40.69528', '-73.93079')
('40.69928', '-73.90616')
('40.64445', '-73.94943')
('40.73652', '-74.00876')
('40.78883', '-73.97616')
('40.68469', '-73.947')
('40.7058', '-73.93803')
('40.71465', '-74.0753')
('40.72965', '-74.06742')
('40.74', '-73.986')
('40.76262', '-73.98865')
('40.77616', '-74.01414')
('40.82264', '-73.94041')
('40.809', '-73.94263')
('40.749', '-73.992')
('40.7962', '-73.96156')
('40.77082', '-74.01821')
('40.74971', '-73.99533')
('40.84058', '-73.91382')
('40.78088', '-73.90819')
('40.68928', '-73.93153')
('40.762', '-73.983')
('40.75128', '-73.97658')
('40.70946', '-74.07432')
('40.7658', '-73.98795')
('40.64851', '-73.94667')
('40.72161', '-74.07392')
('40.71815', '-73.98937')
('40.711', '-73.954')
('40.76759', '-73.92463')
('40.73469', '-73.85426')
('40.6908', '-73.95507')
('40.69893', '-73.91124')
('40.67166', '-73.94674')
('40.82124', '-73.93838')
('40.75527', '-73.99291')
('40.794', '-73.945')
('40.77601', '-73.95114')
('40.72627', '-74.04993')
('40.71455', '-73.99483')
('40.67141', '-74.20946')
('40.71323', '-73.9878')
('40.70848', '-73.95323')
('40.72408', '-73.98297')
('40.77292', '-73.95015')
('40.727', '-73.989')
('40.69724', '-73.94914')
('40.7135', '-73.99121')
('40.82903', '-73.94747')
('40.82085', '-73.94025')
('40.79305', '-73.9447')
('40.6354', '-73.90039')
('40.719', '-73.96')
('40.69976', '-73.91255')
('40.72783', '-74.06786')
('40.75531', '-73.99293')
('40.65959', '-73.98222')
('40.794', '-73.945')
('40.75577', '-73.99466')
('40.716', '-73.99')
('40.78025', '-73.94802')
('40.749', '-73.992')
('40.80843', '-73.94125')
('40.82656', '-73.94724')
('40.785', '-73.975')
('40.69117', '-73.95643')
('40.759', '-73.988')
('40.7463', '-73.97926')
('40.78743', '-73.95179')
('40.7779', '-73.95246')
('40.72361', '-73.9847')
('40.79798', '-73.95052')
('40.74604', '-73.9217')
('40.70508', '-74.09865')
('40.79074', '-73.94232')
('40.72836', '-73.98163')
('40.69144', '-73.956')
('40.73145', '-74.00621')
('40.82193', '-73.94499')
('40.70867', '-73.94284')
('40.80227', '-73.95523')
('40.80584', '-73.95272')
('40.70763', '-73.95177')
('40.68242', '-73.94774')
('40.6974', '-73.92487')
('40.79523', '-74.00388')
('40.6778', '-73.9135')
('40.84505', '-73.93779')
('40.76012', '-73.9092')
('40.67', '-73.933')
('40.76717', '-73.95532')
('40.76035', '-73.98587')
('40.69131', '-73.93003')
('40.80172', '-73.95538')
('40.76737', '-74.03536')
('40.84332', '-73.93829')
('40.7', '-73.89')
('40.75384', '-73.91433')
('40.724', '-73.98')
('40.76712', '-73.98789')
('40.84493', '-73.93843')
('40.679', '-74.2')
('40.70394', '-74.00589')
('40.82773', '-73.95231')
('40.74978', '-74.05163')
('40.73109', '-73.98234')
('40.719', '-73.96')
('40.73747', '-73.9248')
('40.7132', '-73.94164')
('40.74973', '-73.99515')
('40.75684', '-73.99465')
('40.82205', '-73.9467')
('40.678', '-74.2')
('40.749', '-73.992')
('40.70426', '-74.00711')
('40.69554', '-73.92458')
('40.66417', '-73.95307')
('40.78182', '-73.97915')
('40.794', '-73.945')
('40.62919', '-74.08107')
('40.76425', '-73.99162')
('40.70972', '-73.93864')
('40.71231', '-73.99257')
('40.75703', '-73.99371')
('40.79533', '-73.94764')
('40.76123', '-73.99022')
('40.81438', '-73.94782')
('40.69385', '-73.94413')
('40.75536', '-73.9995')
('40.75462', '-73.96869')
('40.794', '-73.945')
('40.7081', '-74.00531')
('40.75842', '-73.99389')
('40.82742', '-73.94878')
('40.80015', '-73.93764')
('40.80623', '-73.94047')
('40.74071', '-73.89186')
('40.72598', '-73.97778')
('40.6752', '-73.93215')
('40.70033', '-73.93127')
('40.72951', '-73.98239')
('40.67963', '-73.97054')
(None, None)
('40.84898', '-73.93642')
('40.69699', '-73.93387')
('40.731', '-74.004')
('40.68249', '-73.97139')
('40.68671', '-73.93346')
('40.679', '-74.2')
('40.75479', '-73.85776')
('40.7658', '-73.99087')
('40.76335', '-73.87007')
('40.82306', '-73.94688')
('40.794', '-73.945')
('40.66615', '-73.95426')
('40.76109', '-73.98261')
('40.73908', '-73.9203')
('40.76173', '-73.87417')
('40.74032', '-74.05945')
('40.721', '-73.947')
('40.68469', '-73.9375')
('40.71254', '-73.98535')
('40.70111', '-73.94471')
('40.76918', '-73.8719')
('40.6922', '-73.92399')
('40.679', '-74.2')
('40.77848', '-73.98334')
('40.74698', '-73.98906')
('40.82957', '-73.94535')
('40.71024', '-73.9517')
('40.76981', '-73.95812')
('40.67627', '-73.90795')
('40.765', '-73.994')
('40.80226', '-73.94506')
('40.81981', '-73.95418')
('40.74588', '-74.00055')
('40.79411', '-73.96427')
('40.823', '-73.946')
('40.76367', '-73.87088')
('40.77993', '-74.01796')
('40.57879', '-74.11043')
('40.794', '-73.945')
('40.808', '-73.955')
('40.756', '-73.986')
('40.69271', '-73.94353')
('40.688', '-73.964')
('40.762', '-73.983')
('40.74977', '-73.99647')
('40.76', '-73.987')
('40.69362', '-73.95906')
('40.64795', '-73.89337')
('40.756', '-73.99783')
('40.74729', '-73.98957')
('40.70515', '-73.943')
('40.84937', '-73.91328')
('40.82724', '-73.94686')
('40.75971', '-73.98979')
('40.679', '-74.2')
('40.77163', '-74.03088')
('40.756', '-73.994')
('40.75792', '-73.99172')
('40.69674', '-73.92972')
('40.764', '-74.035')
('40.78828', '-73.94385')
('40.74937', '-74.04917')
('40.74365', '-73.95377')
('40.75243', '-73.89553')
('40.68101', '-73.94081')
('40.68514', '-73.95976')
('40.7331', '-73.95837')
('40.65848', '-73.952')
('40.77177', '-74.03516')
('40.74535', '-73.99023')
('40.74771', '-73.98727')
('40.8584', '-73.86969')
(None, None)
('40.68499', '-73.94433')
('40.7638', '-73.87238')
('40.63993', '-73.98209')
('40.73318', '-73.98449')
('40.76156', '-73.98749')
('40.66018', '-73.96005')
('40.67794', '-73.90639')
('40.75811', '-73.90954')
('40.72941', '-74.06958')
('40.73125', '-73.98344')
('40.65925', '-73.89396')
('40.76996', '-73.9576')
('40.81893', '-73.95308')
('40.82029', '-73.93861')
('40.751', '-74.049')
('40.7473', '-73.97529')
('40.76373', '-73.86508')
('40.79012', '-73.94333')
('40.68275', '-73.98562')
('40.65507', '-73.95824')
('40.7567', '-73.99277')
('40.7179', '-73.96107')
('40.71398', '-73.95763')
('40.678', '-73.97118')
('40.75863', '-73.98472')
('40.76539', '-73.99145')
('40.73895', '-74.03254')
('40.76282', '-73.98236')
('40.8117', '-73.94563')
('40.70072', '-73.91359')
('40.80033', '-73.94201')
('40.63952', '-73.98205')
('40.76664', '-73.87577')
('40.69695', '-73.95951')
('40.69499', '-73.9283')
('40.74381', '-73.97909')
('40.775', '-73.92')
('40.74896', '-73.99657')
('40.77752', '-74.01549')
('40.76199', '-73.99253')
('40.82537', '-73.94392')
('40.75204', '-73.9226')
('40.75895', '-73.99019')
('40.63504', '-73.96603')
('40.83942', '-73.93855')
('40.69233', '-73.90579')
('40.72463', '-73.98938')
('40.67653', '-73.90814')
('40.68624', '-73.95528')
('40.76311', '-73.98704')
('40.71819', '-73.99403')
('40.73579', '-73.98636')
('40.74765', '-73.9873')
('40.68592', '-73.9555')
('40.71909', '-73.95998')
('40.688', '-73.964')
('40.759', '-73.988')
('40.68873', '-73.91508')
('40.69482', '-73.96419')
('40.74769', '-73.9784')
('40.71491', '-73.99503')
('40.81922', '-73.95276')
('40.68757', '-73.93032')
('40.803', '-73.95278')
('40.77056', '-73.87191')
('40.74256', '-73.97912')
('40.785', '-73.975')
('40.694', '-73.92')
('40.69007', '-73.94326')
('40.759', '-73.988')
('40.77938', '-73.98247')
('40.749', '-73.992')
('40.71921', '-73.99116')
('40.7497', '-73.99515')
('40.79774', '-73.93244')
('40.78883', '-73.97616')
('40.72046', '-73.98773')
('40.809', '-73.94263')
('40.7658', '-73.98795')
('40.76262', '-73.98865')
('40.7962', '-73.96156')
('40.70031', '-73.90828')
('40.71716', '-73.99462')
('40.794', '-73.945')
('40.77601', '-73.95114')
('40.72649', '-73.97904')
('40.78743', '-73.95179')
('40.794', '-73.945')
('40.72476', '-74.00387')
('40.75376', '-74.02635')
('40.77292', '-73.95015')
('40.77082', '-74.01821')
('40.762', '-73.983')
('40.77616', '-74.01414')
('40.7664', '-73.98808')
('40.749', '-73.992')
('40.74', '-73.986')
('40.74971', '-73.99533')
('40.78025', '-73.94802')
('40.80172', '-73.95538')
('40.75531', '-73.99293')
('40.7463', '-73.97926')
('40.79074', '-73.94232')
('40.79305', '-73.9447')
('40.75128', '-73.97658')
('40.73652', '-74.00876')
('40.76717', '-73.95532')
('40.80843', '-73.94125')
('40.80584', '-73.95272')
('40.727', '-73.989')
('40.76035', '-73.98587')
('40.794', '-73.945')
('40.7779', '-73.95246')
('40.80227', '-73.95523')
('40.76712', '-73.98789')
('40.79798', '-73.95052')
('40.75577', '-73.99466')
('40.81438', '-73.94782')
('40.80015', '-73.93764')
('40.71455', '-73.99483')
('40.79523', '-74.00388')
('40.78182', '-73.97915')
('40.76759', '-73.92463')
('40.75684', '-73.99465')
('40.794', '-73.945')
('40.79411', '-73.96427')
('40.749', '-73.992')
('40.765', '-73.994')
('40.719', '-73.96')
('40.716', '-73.99')
('40.79533', '-73.94764')
